SN/IMEI/MPK,USERID
866400031717908,958569
866400033098968,958569
866400033312344,958569
866400031701548,958571
866400033100988,958571
866400032774585,958571
866400031207900,958579
866400033205704,958579
866400030116805,958583
866400033202644,958583
866400031232221,958585
866400033191441,958585
866400031426708,958587
866400033198842,958587
866400031509065,958593
866400032798725,958593
866400031723088,958599
866400032888302,958599
866400031710382,958603
866400033200606,958603
866400031354603,958607
866400033196903,958607
866400032255684,958621
866400031987329,958621
866400033313185,958621
866400031797686,958663
866400032898269,958663
866400032235561,958687
866400032180569,958687
866400033313946,958687
866400031730265,958699
866400033179602,958699
866400031608149,958701
866400033216065,958701
866400031170702,958705
866400032843182,958705
866400033271342,958705
866400031168680,958709
866400032914520,958709
866400032913365,958709
866400031263481,958729
866400031691764,958729
866400033176343,958729
866400032231222,958737
866400032181724,958737
866400033313482,958737
866400031219988,958741
866400032846961,958741
866400032869906,958741
866400031215549,958743
866400032852928,958743
866400032830627,958743
866400030209725,958745
866400033119269,958745
866400032916343,958745
866400031496263,958757
866400033200663,958757
866400031228484,958765
866400033160685,958765
866400031028108,958767
866400033205621,958767
866400031863561,958783
866400033173209,958783
866400032917226,958783
866400031268787,974958
866400030312628,974958
866400033116422,974958
866400031959740,974976
866400030388024,974976
866400033203162,974976
866400032235785,974998
866400032194982,974998
866400033313607,974998
866400032245982,975016
866400032249109,975016
866400033301628,975016
866400032255726,975018
866400032235025,975018
866400033310405,975018
866400032250180,975022
866400032229804,975022
866400033313029,975022
866400031173680,975026
866400032848645,975026
866400033145207,975026
866400031167203,975028
866400032899762,975028
866400032918463,975028
866400031149664,975034
866400032917705,975034
866400032916988,975034
866400031878247,975038
866400032912524,975038
866400032864907,975038
866400031835403,975040
866400033173704,975040
866400032899549,975040
866400030049105,975050
866400032950920,975050
866400030044767,975054
866400033113205,975054
866400031117224,975056
866400033131561,975056
866400030469147,975072
866400033205324,975072
866400031624088,975074
866400032886348,975074
866400031689362,975110
866400033203261,975110
866400032233483,975135
866400032214905,975135
866400033160941,975135
866400032219748,975145
866400032185766,975145
866400032947686,975145
866400032171303,975147
866400032212321,975147
866400033310660,975147
866400032241064,975151
866400032229424,975151
866400033296323,975151
866400030039916,975155
866400032855046,975155
866400032779188,975155
866400030026574,975157
866400032854247,975157
866400032794203,975157
866400030037050,975161
866400032852340,975161
866400032912680,975161
866400031600443,975165
866400033142808,975165
866400032863529,975165
866400031648483,975167
866400032915600,975167
866400033313284,975167
866400031701001,975169
866400033074662,975169
866400033303582,975169
866400031745404,975171
866400033095303,975171
866400033293320,975171
866400031537702,975177
866400032970746,975177
866400033295820,975177
866400030818103,975179
866400033002267,975179
866400033284303,975179
866400030797588,975181
866400033088381,975181
866400033299384,975181
866400030746569,975183
866400033056826,975183
866400033290888,975183
866400030595826,975185
866400033083564,975185
866400033298840,975185
866400030455765,975187
866400033084109,975187
866400033295747,975187
866400031219509,975189
866400033067922,975189
866400033134144,975189
866400031156321,975191
866400033046025,975191
866400033298261,975191
866400030039817,975195
866400032721206,975195
866400031744589,975201
866400033196465,975201
866400031689040,975207
866400033202289,975207
866400031617363,975209
866400033206744,975209
866400031758944,975211
866400033183208,975211
866400031276285,975213
866400033201968,975213
866400030483387,975217
866400033199709,975217
866400031081248,975219
866400033201323,975219
866400031227387,975221
866400033154605,975221
866400030740265,975229
866400033230769,975229
866400031600963,975231
866400032885589,975231
866400031404689,975233
866400033216669,975233
866400030034057,975235
866400032912722,975235
866400031713444,975239
866400033198222,975239
866400031035285,975241
866400033205746,975241
866400031245041,977598
866400030331420,977598
866400031231504,977600
866400030365543,977600
866400033163929,977600
866400031236487,977602
866400031850923,977602
866400033189247,977602
866400031249407,977606
866400031782100,977606
866400033097820,977606
866400031249100,977608
866400031726560,977608
866400033187845,977608
866400031117745,977610
866400031804904,977610
866400033195103,977610
866400031012706,977612
866400030032879,977612
866400033109989,977612
866400032237641,977614
866400030035815,977614
866400033203204,977614
866400032258167,977616
866400032174968,977616
866400033291548,977616
866400032244886,977622
866400032194529,977622
866400033309803,977622
866400031086700,977630
866400032875408,977630
866400032913340,977630
866400031156263,977632
866400032873767,977632
866400032898889,977632
866400030550805,977636
866400032871589,977636
866400032918661,977636
866400030437482,977638
866400032896925,977638
866400032916905,977638
866400030042449,977642
866400032930161,977642
866400033065025,977642
866400030048347,977644
866400032928363,977644
866400030041524,977648
866400033125944,977648
866400030068089,977650
866400033128161,977650
866400030038215,977652
866400033121927,977652
866400031200509,977654
866400033129904,977654
866400030785906,977658
866400033123840,977658
866400030750108,977666
866400033207569,977666
866400031225209,977670
866400033201224,977670
866400031747566,977674
866400032878980,977674
866400030832104,977676
866400033239224,977676
866400030803345,977678
866400033241469,977678
866400031895027,977680
866400032846243,977680
866400031866788,977682
866400032886744,977682
866400031270502,977686
866400033205860,977686
